VILLE_3;CHAT;CHIEN;VILLE;VILLE_2;COORDONNEES;LON;LAT;CODE POSTAL;CODE INSEE
FONTENOY;0;148;Fontenoy;fontenoy;[3.194547586615416, 49.40999994371532];3.194547587;49.40999994;2290;2326
FONTENOY-LA-JOUTE;19;44;Fontenoy-la-Joûte;fontenoy la joute;[6.655522224307166, 48.44924443014902];6.655522224;48.44924443;54122;54201
FONTENOY-SUR-MOSELLE;0;1;Fontenoy-sur-Moselle;fontenoy sur moselle;[5.991121884183286, 48.70768930448819];5.991121884;48.7076893;54840;54202
FONTENY;26;0;Fonteny;fonteny;[6.478302759143873, 48.876177955476095];6.478302759;48.87617796;57590;57225
FONTERS-DU-RAZES;0;40;Fonters-du-Razès;fonters du razes;[1.923431598570904, 43.237704715147814];1.923431599;43.23770472;11400;11149
FONTES;0;270;Fontès;fontes;[3.390265560073468, 43.54199675411175];3.39026556;43.54199675;34320;34103
FONTET;0;264;Fontet;fontet;[-0.027907399251789002, 44.55531507512193];-0.027907399;44.55531508;33190;33170
FONTETTE;5;63;Fontette;fontette;[4.616376039648856, 48.076284351251935];4.61637604;48.07628435;10360;10155
FONTEVRAUD-L'ABBAYE;160;3;Fontevraud-l'Abbaye;fontevraud l abbaye;[0.033842690659986005, 47.18434771540163];0.033842691;47.18434772;49590;49140
FONTGUENAND;28;198;Fontguenand;fontguenand;[1.5344934399192791, 47.20197294316056];1.53449344;47.20197294;36600;36077
FONTIERS-CABARDES;1;110;Fontiers-Cabardès;fontiers cabardes;[2.253204747827645, 43.37466156733114];2.253204748;43.37466157;11390;11150
FONTOY;0;1;Fontoy;fontoy;[5.99679227021828, 49.35771380968057];5.99679227;49.35771381;57650;57226
FONTVANNES;0;2;Fontvannes;fontvannes;[3.871119962162814, 48.282336421752504];3.871119962;48.28233642;10190;10156
FONTVIEILLE;440;10;Fontvieille;fontvieille;[4.723101688823865, 43.72326107040937];4.723101689;43.72326107;13990;13038
FORCALQUIER;1147;0;Forcalquier;forcalquier;[5.788282757203968, 43.95990823737866];5.788282757;43.95990824;4300;4088
FORCELLES-SAINT-GORGON;26;20;Forcelles-Saint-Gorgon;forcelles saint gorgon;[6.103829875143276, 48.45687195001477];6.103829875;48.45687195;54330;54203
FORCEVILLE;1;0;Forceville;forceville;[2.555441238497868, 50.066008765124565];2.555441238;50.06600877;80560;80329
FORCEVILLE-EN-VIMEU;3;0;Forceville-en-Vimeu;forceville en vimeu;[1.799414182395251, 49.961848704135114];1.799414182;49.9618487;80140;80330
FORGES;24;2;Forges;forges;[-0.89210183979331, 46.10907530588117];-0.89210184;46.10907531;17290;17166
FORGES-LA-FORET;1;2;Forges-la-Forêt;forges laforet;[-1.293505517646031, 47.861819186282894];-1.293505518;47.86181919;35640;35114
FORGES-LES-EAUX;0;468;Forges-les-Eaux;forges les eaux;[1.532787529109892, 49.61178533641495];1.532787529;49.61178534;76440;76276
FORGES-SUR-MEUSE;0;40;Forges-sur-Meuse;forges sur meuse;[5.276471624438095, 49.26015532090207];5.276471624;49.26015532;55110;55193
FORGUES;0;83;Forgues;forgues;[1.043264313641278, 43.431154146421584];1.043264314;43.43115415;31370;31189
